planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
11 Com b,2,1,Radial Velocity,2007,326.03,6165.6,4742,2.7,2.243,93.1846
11 UMi b,1,1,Radial Velocity,2009,516.21997,4684.8142,4213,2.78,2.43,125.321
14 And b,1,1,Radial Velocity,2008,185.84,1525.5,4813,2.2,1.763,75.4392
14 Her b,1,2,Radial Velocity,2002,1773.40002,1481.0878,5338,0.9,-0.153,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,798.5,565.7374,5750,1.08,0.097,21.1397
18 Del b,2,1,Radial Velocity,2008,993.3,3273.5,4979,2.3,1.602,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,,3000,4060,0.85,-0.37,139.135
24 Boo b,1,1,Radial Velocity,2018,30.3506,289.2253,4893,0.99,1.774,95.9863
24 Sex b,1,2,Radial Velocity,2010,452.8,632.46,5098,1.54,1.164,72.0691
24 Sex c,1,2,Radial Velocity,2010,883,273.32,5098,1.54,1.164,72.0691
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,,4131.79,,0.19,,47.2
2MASS J01225093-2439505 b,1,1,Imaging,2013,,7786.5,3530,0.4,-1.72,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,,4417.837,3064,0.11,-2.23,40.0896412
2MASS J04414489+2301513 b,1,1,Imaging,2010,,2383.6,2936,0.02,-2.444,120.423987
2MASS J12073346-3932539 b,1,1,Imaging,2004,,1589.15,2825,0.02,-2.561,64.308
2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,416,603.877,10868,0.48,0.168,396.332
2MASS J21402931+1625183 A b,1,1,Imaging,2009,7336.5,6657.48,2300,0.08,-3.48,33.1156898
2MASS J22362452+4751425 b,1,1,Imaging,2016,,3972.875,4045,0.6,-1.021,69.5737
30 Ari B b,4,1,Radial Velocity,2009,335.10001,4392.4106,6331,1.93,0.381,44.657
4 UMa b,1,1,Radial Velocity,2006,269.3,2256.5,4415,1.23,2.062,73.4603
42 Dra b,2,1,Radial Velocity,2008,479.1,1233.13,4200,0.98,2.155,90.6545
47 UMa b,1,3,Radial Velocity,1996,1078,804.08,5872,1.06,0.198,13.7967
47 UMa c,1,3,Radial Velocity,2001,2391,171.621,5872,1.06,0.198,13.7967
47 UMa d,1,3,Radial Velocity,2009,14002,521.22,5872,1.06,0.198,13.7967
51 Eri b,3,1,Imaging,2015,11688,635.66,7295,1.65,0.752,29.7575
51 Peg b,1,1,Radial Velocity,1995,4.230785,146.2018,5758,1.03,0.136,15.4614
55 Cnc b,2,5,Radial Velocity,1996,14.6516,263.9785,5172,0.91,-0.197,12.5855
55 Cnc c,2,5,Radial Velocity,2004,44.3989,54.4738,5172,0.91,-0.197,12.5855
55 Cnc d,2,5,Radial Velocity,2002,5574.2,1232.493,5172,0.91,-0.197,12.5855
55 Cnc e,2,5,Radial Velocity,2004,0.7365474,7.99,5172,0.91,-0.197,12.5855
55 Cnc f,2,5,Radial Velocity,2007,259.88,44.812,5172,0.91,-0.197,12.5855
6 Lyn b,1,1,Radial Velocity,2008,934.3,638.8383,4938,1.44,1.176,54.6599
61 Vir b,1,3,Radial Velocity,2009,4.215,5.1,5577,0.94,-0.095,8.50332
61 Vir c,1,3,Radial Velocity,2009,38.021,18.2,5577,0.94,-0.095,8.50332
61 Vir d,1,3,Radial Velocity,2009,123.01,22.9,5577,0.94,-0.095,8.50332
7 CMa b,1,2,Radial Velocity,2011,735.1,587.9855,4826,1.34,1.063,19.8101
7 CMa c,1,2,Radial Velocity,2019,996,276.5121,4826,1.34,1.063,19.8101
70 Vir b,1,1,Radial Velocity,1996,116.688,2380.45,5495,1.09,0.451,17.9011
75 Cet b,2,1,Radial Velocity,2012,691.9,953.49,4846,2.49,1.73,82.9613
8 UMi b,1,1,Radial Velocity,2015,93.4,416.3573,4847,1.44,1.725,162.552
81 Cet b,1,1,Radial Velocity,2008,952.7,1684.4,4785,2.4,1.778,101.26
91 Aqr b,3,1,Radial Velocity,2013,181.4,1017,4665,1.4,1.692,44.0304
AB Pic b,1,1,Imaging,2005,,4290.5,5285,0.9,-0.226,50.0475
AU Mic b,1,2,Transit,2020,8.463,17,3700,0.5,-1.046,9.7221
AU Mic c,1,2,Transit,2021,18.859019,13.6,3700,0.5,-1.065,9.7221
BD+03 2562 b,1,1,Radial Velocity,2017,481.9,2034.112,4095,1.14,2.7,1070.63
BD+14 4559 b,1,1,Radial Velocity,2009,268.94,330.5432,4864,0.49,-0.32,49.352
BD+15 2375 b,1,1,Radial Velocity,2016,153.22,337.21763,4649,1.08,1.57,768.045
BD+15 2940 b,1,1,Radial Velocity,2013,137.48,352.78,4796,1.1,2.01,426.42
BD+20 2457 b,1,2,Radial Velocity,2009,379.63,17668.1697,4259,10.83,3.17,1539.71
BD+20 2457 c,1,2,Radial Velocity,2009,621.99,3963.17,4137,2.8,3.17,1539.71
BD+20 274 b,1,1,Radial Velocity,2012,578.2,1334.886,4296,0.8,1.96,1322.51
BD+20 594 b,1,1,Transit,2016,41.6855,22.2481,5766,1.67,-0.056,179.461
BD+45 564 b,1,1,Radial Velocity,2021,307.88,432.24663,5004,0.81,-0.399,53.622
BD+48 738 b,1,1,Radial Velocity,2011,392.6,289.2253,4414,0.74,1.69,871.493
BD+48 740 b,1,1,Radial Velocity,2018,733,540.311,4534,1.09,1.64,666.589
BD+49 828 b,1,1,Radial Velocity,2015,2590,508.5,4943,1.52,1.47,442.042
BD+55 362 b,1,1,Radial Velocity,2021,265.59,228.83645,5012,0.91,-0.313,52.5697
BD+63 1405 b,1,1,Radial Velocity,2021,1198.48,1258.60049,5000,0.82,-0.413,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,723.2,7961.6016,5040,0.81,-0.35,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,3.8728,8.5,4324,0.7,-1.022,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,125.94,53,4324,0.7,-1.022,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,5.6,12.7132,4816,0.5,-0.626,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,237.6,104,4746,0.74,-0.626,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777,187.5197,5393,1.47,-0.191,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,1634,206.5895,4550,0.65,-0.804,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,74.2,15.37,4550,0.65,-0.804,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999,3108.3774,4545,2.12,2.043,925.214
BD-17 63 b,1,1,Radial Velocity,2008,655.6,1620.9,4714,0.74,-0.678,34.4603
CFBDSIR J145829+101343 b,1,1,Imaging,2011,10037.5,3337.1,580.5,0.02,,23.1
CFHTWIR-Oph 98 b,1,1,Imaging,2021,8040000,2479.06157,2320,0.01,-2.85,
CHXR 73 b,1,1,Imaging,2006,,3994.486,3099,0.35,,190.374
CI Tau b,1,1,Radial Velocity,2019,8.9891,3686.828,3807,0.9,-0.108,157.998
COCONUTS-2 b,1,1,Imaging,2021,402000000,2002.31896,3406,0.37,-1.732,10.8864
CT Cha b,1,1,Imaging,2007,,5403,4403,,-0.102,190.72
CoRoT-1 b,1,1,Transit,2008,1.5089557,327.35,5950,0.95,0.298,787.909
CoRoT-10 b,1,1,Transit,2010,13.2406,874,5075,0.89,-0.726,338.386
CoRoT-11 b,1,1,Transit,2010,2.99433,740.51,6440,1.27,0.378,655.037
CoRoT-12 b,1,1,Transit,2010,2.828042,291.438,5675,1.08,0.07,1126.37
CoRoT-13 b,1,1,Transit,2010,4.03519,415.704,5945,1.09,0.073,1148.93
CoRoT-14 b,1,1,Transit,2010,1.51214,2415.4,6035,1.13,0.119,1744.6
CoRoT-16 b,1,1,Transit,2011,5.35227,170.032,5650,1.1,-0.435,732.409
CoRoT-17 b,1,1,Transit,2011,3.7681,772.29,5740,1.04,0.134,1176.12
CoRoT-18 b,1,1,Transit,2011,1.9000693,1102.82,5440,0.95,-0.17,764.889
CoRoT-19 b,1,1,Transit,2011,3.89713,352.78,6090,1.21,0.544,790.663
CoRoT-2 b,2,1,Transit,2008,1.7429935,1102.82,5625,0.96,-0.131,213.283
CoRoT-20 b,1,2,Transit,2011,9.24285,1366.669,5880,1.14,0.17,844.061
CoRoT-20 c,1,2,Radial Velocity,2018,1675,5403.11,4947.5,1.14,0.006,844.061
CoRoT-21 b,1,1,Transit,2012,2.72474,718.2958,6200,1.29,0.705,1398.834197
CoRoT-22 b,1,1,Transit,2014,9.75598,12.2,5939,1.1,0.014,627.158
CoRoT-23 b,1,1,Transit,2011,3.6313,889.9,5900,1.14,0.087,1060.97
CoRoT-24 b,1,2,Transit,2014,5.1134,5.7,4950,0.91,-0.601,591.555
CoRoT-24 c,1,2,Transit,2014,11.759,28,4950,0.91,-0.601,591.555
CoRoT-25 b,1,1,Transit,2013,4.86069,85.81,6040,1.09,0.141,1103.48
CoRoT-26 b,1,1,Transit,2013,4.20474,165.26,5590,1.09,0.451,1045.18
CoRoT-27 b,1,1,Transit,2014,3.57532,3302.11,5900,1.05,-0.166,1010.28
CoRoT-28 b,1,1,Transit,2015,5.20851,153.82972,5150,1.01,0.388,766.183
CoRoT-29 b,1,1,Transit,2015,2.85057,270.1555,5260,0.97,-0.094,806.507
CoRoT-3 b,1,1,Transit,2008,4.2568,6883.91,6740,1.37,0.391,768.771
CoRoT-30 b,1,1,Transit,2020,9.06005,921.707,5650,0.98,-0.197,1032.23
CoRoT-31 b,1,1,Transit,2020,4.62941,266.9772,5700,1.25,0.398,2005.76
CoRoT-4 b,1,1,Transit,2008,9.20205,228.83,6190,1.16,0.185,726.412
CoRoT-5 b,1,1,Transit,2009,4.0378962,148.42,6100,1,0.18,882.472
CoRoT-6 b,1,1,Transit,2009,8.886593,940.74,6090,1.05,0.026,645.294
CoRoT-7 b,1,2,Transit,2009,0.85359163,4.07661,5275,0.82,-0.289,159.906
CoRoT-7 c,1,2,Radial Velocity,2009,3.698,8.4,5256,0.9,-0.289,159.906
CoRoT-8 b,1,1,Transit,2010,6.21229,69.92,5080,0.88,-0.4,322.037
CoRoT-9 b,2,1,Transit,2009,95.272656,266.9772,5625,0.96,-0.254,412.98
CoRoTID 223977153 b,1,1,Transit,2017,6.71837,47.6745,5970,1.08,-0.155,576.683
DE CVn b,2,1,Eclipse Timing Variations,2018,4098.1,3823.2733,3579,0.51,-1.574,30.5225
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,246.36,9057.77,,0.07,,20.77
DH Tau b,1,1,Imaging,2004,,3496,4371,0.33,-0.212,134.846
DMPP-1 b,1,4,Radial Velocity,2019,18.57,24.27,6196,1.21,0.32,62.5388
DMPP-1 c,1,4,Radial Velocity,2019,6.584,9.6,6196,1.21,0.32,62.5388
DMPP-1 d,1,4,Radial Velocity,2019,2.882,3.35,6196,1.21,0.32,62.5388
DMPP-1 e,1,4,Radial Velocity,2019,5.516,4.13,6196,1.21,0.32,62.5388
DMPP-2 b,1,1,Radial Velocity,2019,5.2072,138.89171,6500,1.44,0.104,137.94
DMPP-3 A b,2,1,Radial Velocity,2019,6.6732,2.58,5138,0.87,-0.293,45.23
DP Leo b,2,1,Eclipse Timing Variations,2009,10220,1995.88832,13500,0.69,-2.4,305.684
DS Tuc A b,2,1,Transit,2019,8.138268,413.179,5428,1.01,-0.14,44.0622
EPIC 201170410.02,1,1,Transit,2020,6.7987,1.15,3648,0.29,-1.9,134
EPIC 201238110 b,1,1,Transit,2019,28.1656,4.16,3587,0.41,-1.508,159.259
EPIC 201497682 b,1,1,Transit,2019,2.13174,0.26,4991,0.78,-0.766,253.026
EPIC 201615463 c,1,2,Transit,2019,3.80464,1.98,5942.5,1.07,0.458,476.882
EPIC 201754305 d,1,3,Transit,2019,2.71578,1.08,4761,0.67,-0.761,334.967
EPIC 201757695.02,1,1,Transit,2020,2.0478,0.688,4520,0.73,-0.364,577.6
EPIC 201833600 c,1,2,Transit,2019,3.96151,0.972,4292.67,0.61,-0.874,257.443
EPIC 201841433 b,1,1,Transit,2019,4.1698,1.12,5053,0.8,-0.635,436.488
EPIC 205950854 c,1,2,Transit,2019,8.050722,2.27,5502.7,0.88,-0.176,243.935
EPIC 206024342 b,1,1,Transit,2019,4.50756,3.53,5759,0.93,-0.17,369.888
EPIC 206032309 b,1,1,Transit,2019,2.87814,1.01,3489,0.22,-1.73,161.365
EPIC 206042996 b,1,1,Transit,2019,5.29711,3.26,4055,0.56,-0.98,451.769
EPIC 206215704 b,1,1,Transit,2019,2.25372,0.666,3467,0.41,-2.088,109.888
EPIC 206317286 b,1,1,Transit,2019,1.58252,0.84,4864,0.71,-0.593,314.35
EPIC 211822797 b,1,1,Transit,2016,21.1701963,4.35,4057,0.62,-1.153,186.197
EPIC 211945201 b,1,1,Transit,2018,19.49221,27,6069,1.17,0.373,181.69
EPIC 212297394 b,1,2,Transit,2019,2.289363,2.79,5171,0.83,-0.505,418.395
EPIC 212297394 c,1,2,Transit,2016,5.213965,5.77,5171,0.83,-0.467,418.395
EPIC 212424622 b,1,1,Transit,2019,18.0983,5.35,5782.33,1.11,0.179,611.804
EPIC 212499991 b,1,1,Transit,2019,34.885,3.19,4982.79,0.91,-0.497,283.29
EPIC 212587672 b,1,2,Transit,2019,15.28078,2.13,6004,0.99,0.006,320.07
EPIC 212587672 c,1,2,Transit,2016,23.228555,5.99,6004,0.99,0.038,320.07
EPIC 212737443 b,1,2,Transit,2019,13.603,7.2,4684,0.69,-0.751,336.25
EPIC 212737443 c,1,2,Transit,2019,65.55,7.7,4684,0.69,-0.804,336.25
EPIC 220554210 c,1,2,Transit,2019,0.70531,2.79,5523,0.94,-0.215,496.289
EPIC 220674823 b,1,2,Transit,2016,0.571331,7.72,5617,0.97,-0.119,244.59
EPIC 220674823 c,1,2,Transit,2016,13.339079,5.8,5617,0.97,-0.119,244.59
EPIC 246851721 b,2,1,Transit,2018,6.180235,953.49,6202,1.32,0.526,372.632
EPIC 248847494 b,1,1,Transit,2018,3650,4131.79,4898,0.9,0.548,551.886
EPIC 249893012 b,1,3,Transit,2020,3.5951,8.75,5430,1.05,0.356,321.296
EPIC 249893012 c,1,3,Transit,2020,15.624,14.67,5430,1.05,0.356,321.296
EPIC 249893012 d,1,3,Transit,2020,35.747,10.18,5430,1.05,0.356,321.296
FU Tau b,1,1,Imaging,2008,,5085.28,2838,0.05,-0.699,133.4950466
G 264-012 b,1,2,Radial Velocity,2021,2.30538,2.5,3326,0.3,-1.972,16.009
G 264-012 c,1,2,Radial Velocity,2021,8.0518,3.75,3326,0.3,-1.972,16.009
G 9-40 b,1,1,Transit,2019,5.746007,4.76,3348,0.29,-1.971,27.9276
GJ 1061 b,1,3,Radial Velocity,2020,3.204,1.37,2953,0.12,-2.77,3.67278
GJ 1061 c,1,3,Radial Velocity,2020,6.689,1.74,2953,0.12,-2.77,3.67278
GJ 1061 d,1,3,Radial Velocity,2020,13.031,1.64,2953,0.12,-2.77,3.67278
GJ 1132 b,1,2,Transit,2015,1.628931,1.66,3270,0.18,-2.359,12.613
GJ 1132 c,1,2,Radial Velocity,2018,8.929,2.64,3270,0.18,-2.359,12.613
GJ 1148 b,1,2,Radial Velocity,2010,41.38,96.7,3287,0.34,-1.869,11.0143
GJ 1148 c,1,2,Radial Velocity,2017,532.58,68.06,3287,0.34,-1.869,11.0143
GJ 1151 b,1,1,Radial Velocity,2021,2.018,2.5,3114,0.17,-2.463,8.03625
GJ 1214 b,1,1,Transit,2009,1.58040433,8.17,3250,0.18,-2.337,14.6427
GJ 1252 b,1,1,Transit,2020,0.5182349,2.09,3458,0.38,-1.708,20.373
GJ 1265 b,1,1,Radial Velocity,2018,3.6511,7.4,3236,0.18,-2.439,10.2525
GJ 143 b,1,2,Transit,2019,35.61253,22.7,4640,0.73,-0.686,16.32
GJ 15 A b,2,2,Radial Velocity,2014,11.4407,3.03,3607,0.38,-1.655,3.56228
GJ 15 A c,2,2,Radial Velocity,2018,7600,36,3607,0.38,-1.655,3.56228
GJ 160.2 b,1,1,Radial Velocity,2014,5.2354,10.2,4347,0.69,-0.796,25.8557
GJ 163 b,1,3,Radial Velocity,2013,8.63182,10.6,3500,0.4,-1.708,15.1285
GJ 163 c,1,3,Radial Velocity,2013,25.63058,6.8,3500,0.4,-1.708,15.1285
GJ 163 d,1,3,Radial Velocity,2013,603.95116,29.4,3500,0.4,-1.708,15.1285
GJ 179 b,1,1,Radial Velocity,2009,2288,260.61,3370,0.36,-1.796,12.356
GJ 180 b,1,3,Radial Velocity,2014,17.133,6.49,3371,0.43,-1.886,11.9407
GJ 180 c,1,3,Radial Velocity,2014,24.329,6.4,3371,0.43,-1.886,11.9407
GJ 180 d,1,3,Radial Velocity,2020,106.3,7.56,3811.5,0.43,-1.609,11.9407
GJ 2056 b,1,1,Radial Velocity,2020,69.971,16.2,4069.95,0.62,-0.905,28.4434
GJ 229 A c,2,2,Radial Velocity,2020,121.995,7.268,3912.54,0.58,-1.222,5.75624
GJ 229 b,2,2,Radial Velocity,2014,526.115,8.478,3564,0.58,-1.553,5.75624
GJ 251 b,1,1,Radial Velocity,2020,14.238,4,3451,0.36,-1.772,5.58057
GJ 27.1 b,1,1,Radial Velocity,2014,15.819,13,3542,0.53,-1.585,23.6062
GJ 273 b,1,2,Radial Velocity,2017,18.6498,2.89,3382,0.29,-2.056,5.921535
GJ 273 c,1,2,Radial Velocity,2017,4.7234,1.18,3382,0.29,-2.056,5.921535
GJ 3021 b,2,1,Radial Velocity,2000,133.71,1071.04,5540,0.9,-0.18,17.5559
GJ 3082 b,1,1,Radial Velocity,2020,11.949,8.2,3910,0.47,-1.463,16.6186
GJ 3138 b,1,3,Radial Velocity,2017,1.22003,1.78,3717,0.68,-1.347,28.4712
GJ 3138 c,1,3,Radial Velocity,2017,5.974,4.18,3717,0.68,-1.347,28.4712
GJ 3138 d,1,3,Radial Velocity,2017,257.8,10.5,3717,0.68,-1.347,28.4712
GJ 317 b,1,2,Radial Velocity,2007,695.66,794.5,3492.73,0.42,-1.687,15.1968
GJ 317 c,1,2,Radial Velocity,2018,6739.323,522.5,3492.73,0.42,-1.687,15.1968
GJ 328 b,1,1,Radial Velocity,2013,4100,731,3900,0.69,-0.993,20.5266
GJ 3293 b,1,4,Radial Velocity,2015,30.5987,23.54,3466,0.42,-1.658,20.1903
GJ 3293 c,1,4,Radial Velocity,2015,122.6196,21.09,3466,0.42,-1.658,20.1903
GJ 3293 d,1,4,Radial Velocity,2017,48.1345,7.6,3466,0.42,-1.658,20.1903
GJ 3293 e,1,4,Radial Velocity,2017,13.2543,3.28,3466,0.42,-1.658,20.1903
GJ 3323 b,1,2,Radial Velocity,2017,5.3636,2.02,3159,0.16,-2.569,5.37484
GJ 3323 c,1,2,Radial Velocity,2017,40.54,2.31,3159,0.16,-2.569,5.37484
GJ 3341 b,1,1,Radial Velocity,2015,14.207,6.6,3526,0.47,-1.538,23.619
GJ 338 B b,2,1,Radial Velocity,2020,24.45,10.27,4005,0.64,-1.101,6.33256
GJ 3470 b,1,1,Radial Velocity,2012,3.3366496,13.9,3600,0.54,-1.538,29.4214
GJ 3473 b,2,2,Transit,2020,1.1980035,1.86,3347,0.36,-1.824,27.3644
GJ 3473 c,2,2,Radial Velocity,2020,15.509,7.41,3347,0.36,-1.824,27.3644
GJ 3512 b,1,1,Radial Velocity,2019,203.59,147.15529,3081,0.12,-2.804,9.48637
GJ 357 b,1,3,Transit,2019,3.93072,1.84,3505,0.34,-1.798,9.44181
GJ 357 c,1,3,Radial Velocity,2019,9.1247,3.4,3505,0.34,-1.798,9.44181
GJ 357 d,1,3,Radial Velocity,2019,55.661,6.1,3505,0.34,-1.798,9.44181
GJ 3634 b,1,1,Radial Velocity,2010,2.64561,8.4,3517,0.45,-1.699,20.3779
GJ 3779 b,1,1,Radial Velocity,2018,3.0232,8,3324,0.27,-2.062,13.743
GJ 393 b,1,1,Radial Velocity,2021,7.02679,1.71,3579,0.43,-1.571,7.03149
GJ 3942 b,1,1,Radial Velocity,2017,6.905,7.14,3867,0.63,-1.12,16.9287
GJ 3998 b,1,2,Radial Velocity,2016,2.64977,2.47,3722,0.5,-1.387,18.1459
GJ 3998 c,1,2,Radial Velocity,2016,13.74,6.26,3722,0.5,-1.387,18.1459
GJ 411 b,1,2,Radial Velocity,2019,12.946,2.69,3601,0.39,-1.71,5.675773
GJ 414 A b,2,2,Radial Velocity,2021,50.8,7.6,4120,0.65,-0.924,11.8893
GJ 414 A c,2,2,Radial Velocity,2021,749.83,53.83,4120,0.65,-0.924,11.8893
GJ 422 b,1,1,Radial Velocity,2014,20.129,11.07,3323,0.35,-1.959,12.6631
GJ 4276 b,1,1,Radial Velocity,2019,13.352,16.57,3387,0.41,-1.706,21.3362
GJ 433 b,1,3,Radial Velocity,2011,7.3705,6.043,3461,0.48,-1.699,9.06456
GJ 433 c,1,3,Radial Velocity,2014,5094.105,32.422,3472,0.48,-1.699,9.06456
GJ 433 d,1,3,Radial Velocity,2020,36.059,5.223,3461,0.48,-1.475,9.06456
GJ 436 b,1,1,Radial Velocity,2004,2.64388312,22.1,3586.11,0.47,-1.585,9.75321
GJ 480 b,1,1,Radial Velocity,2020,9.567,13.2,3381,0.45,-1.612,14.2358
GJ 486 b,1,1,Radial Velocity,2021,1.467119,2.82,3340,0.32,-1.917,8.07426
GJ 504 b,1,1,Imaging,2013,,1271.3,6234,1.22,0.332,17.5299
GJ 536 b,1,1,Radial Velocity,2016,8.7076,5.36,3685,0.52,-1.377,10.4092
GJ 581 b,1,3,Radial Velocity,2005,5.3686,15.8,3396,0.31,-1.885,6.2981
GJ 581 c,1,3,Radial Velocity,2007,12.914,5.5,3396,0.31,-1.885,6.2981
GJ 581 e,1,3,Radial Velocity,2009,3.149,1.7,3396,0.31,-1.885,6.2981
GJ 625 b,1,1,Radial Velocity,2017,14.628,2.82,3499,0.3,-1.894,6.47249
GJ 649 b,1,1,Radial Velocity,2009,598.3,104.244,3700,0.54,-1.365,10.3796
GJ 667 C b,3,5,Radial Velocity,2011,7.2004,5.6,3350,0.33,-1.863,7.24396
GJ 667 C c,3,5,Radial Velocity,2011,28.14,3.8,3350,0.33,-1.863,7.24396
GJ 667 C e,3,5,Radial Velocity,2013,62.24,2.7,3350,0.33,-1.863,7.24396
GJ 667 C f,3,5,Radial Velocity,2013,39.026,2.7,3350,0.33,-1.863,7.24396
GJ 667 C g,3,5,Radial Velocity,2013,256.2,4.6,3350,0.33,-1.863,7.24396
GJ 674 b,1,1,Radial Velocity,2007,4.6938,11.09,3600,0.35,-1.796,4.54896
GJ 676 A b,2,4,Radial Velocity,2010,1056.80005,2129.461,3734,0.73,-1.043,16.0272
GJ 676 A c,2,4,Radial Velocity,2016,7337,2161.244,4006.03,0.63,-1.043,16.0272
GJ 676 A d,2,4,Radial Velocity,2012,3.6005,4.4,4006.03,0.71,-1.043,16.0272
GJ 676 A e,2,4,Radial Velocity,2012,35.39,8.1,4006.03,0.71,-1.043,16.0272
GJ 682 b,1,2,Radial Velocity,2014,17.478,4.4,3028,0.27,-2.699,5.00671
GJ 682 c,1,2,Radial Velocity,2014,57.32,8.7,3028,0.27,-2.699,5.00671
GJ 685 b,1,1,Radial Velocity,2019,24.16,9,3816,0.55,-1.253,14.3155
GJ 687 b,1,2,Radial Velocity,2014,38.142,17.2,3413,0.4,-1.672,4.54939
GJ 687 c,1,2,Radial Velocity,2020,727.562,16,3413,0.4,-1.672,4.54939
GJ 720 A b,2,1,Radial Velocity,2021,19.466,13.64,3837,0.57,-1.217,15.5575
GJ 740 b,1,1,Radial Velocity,2021,2.37756,2.96,3913,0.58,-1.206,11.1017
GJ 832 b,1,2,Radial Velocity,2008,3657,216,3472,0.45,-1.585,4.96435
GJ 832 c,1,2,Radial Velocity,2014,35.68,5.4,3472,0.45,-1.585,4.96435
GJ 849 b,1,2,Radial Velocity,2006,1915,286.04557,3562.68,0.49,-1.583,8.80058
GJ 849 c,1,2,Radial Velocity,2014,7068,223.11554,3562.68,0.49,-1.583,8.80058
GJ 86 b,2,1,Radial Velocity,1999,15.76491,1404.8086,5182,0.93,-0.39,10.7836
GJ 876 b,1,4,Radial Velocity,1998,61.1166,723.2235,3293.74,0.32,-1.907,4.67517
GJ 876 c,1,4,Radial Velocity,2000,30.0881,226.9846,3293.74,0.32,-1.907,4.67517
GJ 876 d,1,4,Radial Velocity,2005,1.93778,6.83,3293.74,0.32,-1.907,4.67517
GJ 876 e,1,4,Radial Velocity,2010,124.26,14.6,3271,0.32,-1.907,4.67517
GJ 887 b,1,2,Radial Velocity,2020,9.262,4.2,3688,0.49,-1.434,3.29
GJ 887 c,1,2,Radial Velocity,2020,21.789,7.6,3688,0.49,-1.434,3.29
GJ 9066 b,1,2,Radial Velocity,2020,241.883,30.9,3305,0.15,-2.566,4.471
GJ 9066 c,1,2,Radial Velocity,2020,767.887,71.6,3305,0.15,-2.566,4.471
GJ 96 b,1,1,Radial Velocity,2018,73.94,19.66,3785,0.6,-1.052,11.9315
GJ 9827 b,1,3,Transit,2017,1.2089819,4.91,4340,0.61,-0.942,29.661
GJ 9827 c,1,3,Transit,2017,3.6480957,0.84,4340,0.61,-0.942,29.661
GJ 9827 d,1,3,Transit,2017,6.2014698,4.04,4340,0.61,-0.942,29.661
GQ Lup b,1,1,Imaging,2004,,6356,4360,0.7,-0.072,151.169
GSC 06214-00210 b,1,1,Imaging,2010,,5000,4200,0.9,-0.42,108.5
GU Psc b,1,1,Imaging,2014,,3591.3,4031.81,0.33,-1.602,47.5501
Gl 378 b,1,1,Radial Velocity,2019,3.822,13.02,3879,0.56,-1.222,14.9545
Gl 49 b,2,1,Radial Velocity,2019,13.8508,5.63,3805,0.52,-1.306,9.8528
Gl 686 b,1,1,Radial Velocity,2018,15.53,6.624,3656,0.43,-1.53,8.15728
HAT-P-1 b,2,1,Transit,2006,4.46529976,166.86075,5980,1.15,0.225,158.979
HAT-P-11 b,1,2,Transit,2008,4.88780244,26.69772,4780,0.81,-0.567,37.7647
HAT-P-11 c,1,2,Radial Velocity,2018,3407,731.009,4780,0.81,-0.564,37.7647
HAT-P-12 b,1,1,Transit,2009,3.2130598,67.059,4650,0.73,-0.678,142.751
HAT-P-13 b,1,2,Transit,2009,2.91625,270.462,5653,1.32,0.346,246.81
HAT-P-13 c,1,2,Radial Velocity,2009,446.27,4538.421,5653,1.32,0.346,246.81
HAT-P-14 b,2,1,Transit,2010,4.62767,1093.3352,6600,2.65,0.644,222.663
HAT-P-15 b,1,1,Transit,2010,10.8635,616.5902,5568,1,0,192.516
HAT-P-16 b,3,1,Transit,2010,2.77596,1332.605,6158,1.22,0.294,226.637
HAT-P-17 b,1,2,Transit,2010,10.33852,184.3414,5246,0.99,-0.289,92.3831
HAT-P-17 c,1,2,Radial Velocity,2010,5584,1080.6,5336.96,0.92,-0.289,92.3831
HAT-P-18 b,1,1,Transit,2010,5.508023,62.61,4803,0.77,-0.569,161.4
HAT-P-19 b,1,1,Transit,2010,4.008778,92.802,4990,0.84,-0.432,202.078
HAT-P-2 b,1,1,Transit,2007,5.6335158,2765.121,6380,1.33,0.53,127.774
HAT-P-20 b,1,1,Transit,2010,2.875317,2302.899,4595,0.76,-0.721,71.0374
HAT-P-21 b,1,1,Transit,2010,4.12448,1547.8321,5588,1.24,0.025,277.278
HAT-P-22 b,2,1,Transit,2010,3.21222,785.0401,5302,1.13,-0.114,81.7647
HAT-P-23 b,1,1,Transit,2010,1.21288,425.8922,5905,0.58,0.199,364.813
HAT-P-24 b,2,1,Transit,2010,3.35524,238.3725,6373,1.37,0.408,415.344
