planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HD 24040 c,1,2,Radial Velocity,2021,515.4,63.88351,5776.49,1.1,0.276,46.6224
HD 24064 b,1,1,Radial Velocity,2015,535.59998,4096.8287,4052,1.61,2.546,300.247
HD 24085 b,1,1,Radial Velocity,2019,2.0455,11.8,6034,1.22,0.377,54.9004
HD 25015 b,1,1,Radial Velocity,2019,6019.32,1423.8784,5160,0.86,-0.384,37.433
HD 25171 b,2,1,Radial Velocity,2010,1802.29,290.81445,6125,1.08,0.276,55.6146
HD 26161 b,1,1,Radial Velocity,2021,32000,4290.68349,6057.62,1.13,0.393,40.9128
HD 2638 b,3,1,Radial Velocity,2005,3.4442,133.4886,5186,0.77,-0.33,54.9621
HD 2685 b,1,1,Transit,2019,4.12688,371.8611,6801,1.43,0.668,196.852
HD 26965 b,3,1,Radial Velocity,2018,42.378,8.47,5072,0.78,-0.34,5.03545
HD 27442 b,2,1,Radial Velocity,2000,428.1,495.8,4846,1.23,0.851,18.2704
HD 27631 b,1,1,Radial Velocity,2012,2198.14,474.83802,5737,0.94,-0.056,50.2862
HD 27894 b,1,3,Radial Velocity,2005,18.02,211.35695,4875,0.8,-0.449,43.8214
HD 27894 c,1,3,Radial Velocity,2017,36.07,51.48846,4894,0.8,-0.409,43.8214
HD 27894 d,1,3,Radial Velocity,2017,5174,1721.04945,4894,0.8,-0.409,43.8214
HD 27969 b,1,1,Radial Velocity,2021,654.5,1525.57635,5966,1.16,0.528,67.9328
HD 28185 b,1,1,Radial Velocity,2001,379,1875.197,5662,1.02,0.016,39.3809
HD 28254 b,2,1,Radial Velocity,2010,1116,368.67,5664,1.06,0.34,55.2884
HD 285507 b,1,1,Radial Velocity,2013,6.0881,311.4734,4503,0.82,-0.719,45.0293
